Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5C:F5:DA:03:89:EF, 2018-05-25 13:30:31, 2018-05-25 13:48:02, -84,        6, 00:0D:67:7B:B0:B6,xfinitywifi
EE:E0:72:39:3E:A5, 2018-05-25 13:48:01, 2018-05-25 13:48:01, -85,        1, (not associated) ,TMobileWingman
8A:E2:14:4D:D2:0D, 2018-05-25 13:48:03, 2018-05-25 13:48:03, -88,        1, (not associated) ,
52:83:BA:E2:7C:E8, 2018-05-25 13:48:02, 2018-05-25 13:48:02, -88,        1, (not associated) ,
AE:85:0D:B9:23:9C, 2018-05-25 13:47:48, 2018-05-25 13:47:48, -73,        4, (not associated) ,
40:4E:36:8D:51:FE, 2018-05-25 13:33:45, 2018-05-25 13:47:49, -77,       31, 3C:CE:73:F9:23:A2,PSU Secure
CC:2D:B7:A0:52:14, 2018-05-25 13:47:49, 2018-05-25 13:47:49, -78,        1, (not associated) ,PSU Secure
16:06:34:01:FB:3B, 2018-05-25 13:47:52, 2018-05-25 13:47:52, -80,        2, (not associated) ,
DC:2B:2A:3A:CD:28, 2018-05-25 13:47:49, 2018-05-25 13:47:49, -80,        2, (not associated) ,xfinitywifi
52:EA:AC:56:4B:80, 2018-05-25 13:47:40, 2018-05-25 13:47:40, -67,        2, (not associated) ,
E6:D9:52:7A:C9:C7, 2018-05-25 13:47:38, 2018-05-25 13:47:38, -75,        1, (not associated) ,
C2:9A:C2:9B:F0:57, 2018-05-25 13:47:38, 2018-05-25 13:47:38, -77,        3, (not associated) ,
3A:81:44:57:AC:19, 2018-05-25 13:47:37, 2018-05-25 13:47:37, -77,        2, (not associated) ,
4C:66:41:9E:F4:90, 2018-05-25 13:47:20, 2018-05-25 13:47:38, -77,        6, 7C:95:F3:55:06:51,
7E:73:36:24:41:14, 2018-05-25 13:47:37, 2018-05-25 13:47:37, -80,        1, (not associated) ,
12:9F:AF:E4:DE:A1, 2018-05-25 13:47:37, 2018-05-25 13:47:37, -80,        1, (not associated) ,
22:C0:01:DF:83:6E, 2018-05-25 13:47:37, 2018-05-25 13:47:37, -81,        1, (not associated) ,
66:B1:D5:B0:DC:25, 2018-05-25 13:47:39, 2018-05-25 13:47:39, -86,        1, (not associated) ,
7C:5C:F8:F0:B1:9E, 2018-05-25 13:30:57, 2018-05-25 13:47:25, -76,       11, (not associated) ,
12:94:2E:2E:44:54, 2018-05-25 13:47:27, 2018-05-25 13:47:27, -77,        1, (not associated) ,
4A:D2:CF:52:59:78, 2018-05-25 13:47:24, 2018-05-25 13:47:24, -82,        3, (not associated) ,SiltronicGuest
F8:27:93:3D:62:BD, 2018-05-25 13:31:45, 2018-05-25 13:47:24, -82,      100, 7C:95:F3:CC:6B:32,PSU Secure
