Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
26:82:C8:34:CC:F3, 2018-05-25 14:06:59, 2018-05-25 14:06:59, -87,        1, (not associated) ,
08:E6:89:C3:55:C2, 2018-05-25 14:07:01, 2018-05-25 14:07:01, -89,        1, 7C:95:F3:01:FA:72,
98:10:E8:21:77:A7, 2018-05-25 14:06:29, 2018-05-25 14:06:45, -74,        6, 00:27:0D:07:54:12,PSU Secure
90:C7:D8:D8:6B:81, 2018-05-25 14:06:09, 2018-05-25 14:06:09, -55,        2, (not associated) ,CShare_SM-G316HU_samsung
B2:20:83:D1:B6:AD, 2018-05-25 14:05:58, 2018-05-25 14:05:59, -77,        3, (not associated) ,
AC:37:43:48:7D:E5, 2018-05-25 14:05:09, 2018-05-25 14:05:46, -67,        7, (not associated) ,
CC:08:8D:D5:57:66, 2018-05-25 14:04:32, 2018-05-25 14:05:36, -66,       23, 00:26:CB:AB:0B:62,PSU Secure
94:65:2D:DD:58:AA, 2018-05-25 14:04:25, 2018-05-25 14:05:33, -80,       35, 00:26:CB:AB:0B:60,
52:31:4F:F5:B6:D3, 2018-05-25 14:05:34, 2018-05-25 14:05:34, -81,        3, (not associated) ,
5A:26:B0:74:2E:1B, 2018-05-25 14:05:33, 2018-05-25 14:05:33, -84,        1, (not associated) ,
9A:B6:8C:F1:ED:4F, 2018-05-25 14:05:22, 2018-05-25 14:05:22, -87,        2, (not associated) ,
60:F1:89:FC:CF:39, 2018-05-25 14:05:03, 2018-05-25 14:05:14, -62,        6, 00:26:CB:AA:DF:30,
A6:B3:BE:F0:15:20, 2018-05-25 14:05:11, 2018-05-25 14:05:11, -82,        1, (not associated) ,
